ASSETNUM;DESCRIPTION;PLUSTMODEL;PLUSTYEAR;ORGID;STATUS;ALNVALUE;DESCRIPTION_1;ASSETTYPE
11112;MERCEDES BENZ OC 500 RF;501;2016;EURO;OPERATING;1;Diesel;FLEET
11140;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
11161;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
11162;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
11163;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
11164;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
11167;MB TOURISMO Euro VI;332;2022;EURO;OPERATING;1;Diesel;FLEET
11168;MB TOURISMO Euro VI;332;2022;EURO;OPERATING;1;Diesel;FLEET
11169;MB TOURISMO Euro VI;332;2022;EURO;OPERATING;1;Diesel;FLEET
11170;MB TOURISMO Euro VI;332;2022;EURO;OPERATING;1;Diesel;FLEET
11172;MB TOURISMO Euro VI;332;2022;EURO;OPERATING;1;Diesel;FLEET
11173;MB TOURISMO Euro VI;332;2022;EURO;OPERATING;1;Diesel;FLEET
11174;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
11175;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
11176;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
11177;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
11178;SCANIA K490 EB 6X2 D. PISO EURO VI;512;2021;EURO;OPERATING;1;Diesel;FLEET
11186;S 519 HD EURO VI;631;2023;EURO;OPERATING;1;Diesel;FLEET
11197;OC500 2546 IRIZAR i6 EURO VI;766;2025;EURO;OPERATING;11;ECO_Diesel-GLP;FLEET
11198;OC500 2546 IRIZAR i6 EURO VI;766;2025;EURO;OPERATING;11;ECO_Diesel-GLP;FLEET
